make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
ATLAS COPCO,ECM 720,2000,2,2,297,6262,1
EICHER MOTORS,10.90 GENERATOR VAN,3298,3,3,304,14014,8720
ACE,ALN 300,1,1,1,271,16913,1
ACTION CONSTRUCTION EQUIPMENT,AG 165 MOTOR GRADER,1,1,1,294,16915,1
ASHOK LEYLAND LTD.,2516 GARBAGE VAN,3953,2,2,362,16992,25000
ATLAS COPCO,FLEXIROC D60,1,1,1,297,17030,1
ASHOK LEYLAND LTD.,DOST HEARSES,1,2,2,362,17094,1
ASIA MOTORWORKS LTD,2518 COMPRESSORS,1,2,2,260,17113,1
ASHOK LEYLAND LTD.,DOST AMBULANCES,1,4,4,362,17132,1
ASIA MOTORWORKS LTD,3118 COMPRESSORS,1,2,2,260,17197,1
ATLAS COPCO,ROC D5,2000,2,2,297,6263,1
ATLAS COPCO,ROC L7,2000,2,2,297,6264,1
ATLAS COPCO,ECM 470,2000,2,2,297,6268,1
ATLAS COPCO,ROC D7,2000,2,2,297,6271,1
ATLAS COPCO,ROC F7,2000,2,2,297,6272,1
ATLAS COPCO,ROC F9,2000,2,2,297,6274,1
ASHOK LEYLAND LTD.,AL 4/19 GS,2000,3,3,362,9058,0
EICHER MOTORS,10.90 MAKE UP VAN,3298,4,4,304,12698,8720
ESCORTS CONSTRUCTION EQUIPMENT LTD,7 TON FRONTEND LOADER,2000,2,2,312,10874,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,D30S,2000,1,1,312,13936,3000
EICHER TRACTOR,EICHER 5660,2000,1,1,366,6369,1
LIFTMAK,LM DAN 1000,2000,1,1,,13366,0
LUNA SPAIN,GT 160 TRUCK CRANE,2000,3,3,437,13044,1
EICHER MOTORS,10.80 WITH AIR COMPRESSOR,1,3,3,304,16911,1
ESCORTS LIMITED,HYDRA 13 3/2 CRANE,2000,2,2,313,10553,1
LIMA,1500 CRAWLER CRANE,2000,1,1,,12960,1
EICHER TRACTOR,EICHER 369,2000,1,1,366,6344,1
EICHER TRACTOR,EICHER-480,2000,1,1,366,7540,1
EICHER TRACTOR,EICHER 485,2000,1,1,366,6341,1
ESCORTS LIMITED,MPT JAWAN 242-DI,2000,1,1,313,7785,5000
EICHER TRACTOR,EICHER 360,2500,1,1,366,8975,1
EICHER MOTORS,EICHER 11.10,1,2,2,304,10650,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,K 10 HYDRAULIC MOBILE CRANE,1,1,1,312,15856,1
EICHER TRACTOR,EICHER 312,2000,1,1,366,6339,1
EICHER TRACTOR,6100 EP,2000,1,1,366,7100,1
ESCORTS LIMITED,FARMTRAC 60,2000,1,1,313,4908,1
ESCORTS LIMITED,445 XL,2000,1,1,313,8565,1
ESCORTS LIMITED,POWERTRAC 4455,1,1,1,313,13397,2175
ESCORTS LIMITED,FORD 3620 TRACTOR,3149,1,1,313,13555,0
ESCORTS LIMITED,POWERTRAC 434,2000,1,1,313,6407,1
FORD,FORD 5630 TRACTOR,2000,1,1,,10044,1
LIEBHERR,LTM 1200,2000,2,2,333,13700,0
L&T CASE EQUIPMENT (P) LTD.,L T CASE 1007,2000,2,2,329,6783,1
ESCORTS LIMITED,FT 70 LOADER,2000,1,1,313,13933,0
EICHER MOTORS,TERRA 25 CONCRETE MIXER,5883,3,3,304,13446,25000
L&T CASE EQUIPMENT (P) LTD.,CASE 1107 VIBRATORY COMPACTOR,2000,3,3,329,8155,1
LANDSVERK,LANDSVERK CRAWLER CRANE,2000,1,1,,13379,0
EICHER TRACTOR,EICHER 364 NC,2000,1,1,366,6346,1
EICHER TRACTOR,EICHER 243,2000,1,1,366,6350,1
ESCORTS LIMITED,FARMTRAC 65 EPI,1,1,1,313,11528,1
EICHER MOTORS,10.75 BLOOD VAN,1,3,3,304,16673,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,3664 VIBRATORY TANDEM ROLLER,1,1,1,312,16696,1
ESCORTS LIMITED,POWERTRAC 435,2000,1,1,313,6340,1
ESCORTS LIMITED,FARMTRAC 70,2000,1,1,313,4723,1
EICHER MOTORS,JUMBO 20.16 CRANE,5883,4,4,304,13458,16200
FORCE MOTORS,TEMPO TRAVELLER MULTIMEDIA VAN,3050,3,3,314,13523,3490
EICHER MOTORS,30.25 REFULLER,2000,3,3,304,13231,25000
ESCORTS CONSTRUCTION EQUIPMENT LTD,ED 30 VIBRATORY,1,2,2,312,12054,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,XGMA MOTOR GRADER,1,1,1,312,16062,1
EICHER MOTORS,10.50 MOBILE VAN,1,6,6,304,16183,1
FORCE MOTORS,TEMPO TRAVELLER HEARSES,1,3,3,314,14428,3800
EICHER MOTORS,30.25 FUEL TRANSFER - DISPENSERS,1,2,2,304,12579,25000
EICHER MOTORS,11.10 GENERATOR VAN,5883,3,3,304,13132,10500
ESCORTS CONSTRUCTION EQUIPMENT LTD,D50 S-5,2000,3,3,312,16405,1
EICHER MOTORS,11.10 MAKEUP VAN,3598,2,2,304,12903,1
EICHER MOTORS,10.90 MOBILE CAR WASH,5883,3,3,304,13042,8720
EICHER MOTORS,10.50 WATER CART,1,3,3,304,12382,1
EICHER MOTORS,20.16 SWEEPING MACHINE,2000,2,2,304,10534,1
ESCORTS LIMITED,FARMTRAC 6060,1,1,1,313,17289,1
EICHER MOTORS,10.50 AMBULANCE,1,6,6,304,12129,1
FAUN HK,RTF 40-3,1,1,1,,12726,1
EICHER MOTORS,10.59 GENERATOR VAN,1,3,3,304,14339,1
EICHER MOTORS,10.75 MOBILE SHOP,3298,3,3,304,11666,7450
EICHER MOTORS,10.50 TOILET CART,1,3,3,304,12392,1
ESCORTS LIMITED,425 TRACTOR,1,1,1,313,17239,1
EICHER MOTORS,10.75 TOWING VAN,1,3,3,304,17112,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,D20 S-5,2000,3,3,312,11999,1
ESCORTS LIMITED,FARMTRAC 30 HERO,2000,1,1,313,4973,1
ESCORTS LIMITED,POWERTRAC 450,2000,1,1,313,7103,1
ESCORTS LIMITED,425 BX,2000,1,1,313,8983,1
ESCORTS LIMITED,FARMTRAC 35 CHAMPION,2000,1,1,313,4720,1
FORCE MOTORS,BALWAN 400,2000,1,1,314,6351,1
EICHER MOTORS,10.80 RECOVERY VAN,2000,2,2,304,17018,8250
ESCORTS LIMITED,FORD 3600 TRACTOR,2000,1,1,313,13562,0
ESCORTS LIMITED,CROP TIGER,2000,1,1,313,13618,0
FARMER TRACTOR,DI 1200,1,1,1,,16107,1
EZGO,GOLF CART,1500,2,2,261,11497,1
EICHER MOTORS,10.70 MOBILE CLINIC,1,3,3,304,12773,6750
FORCE MOTORS,TEMPO TRAVELLER AMBULANCES,2596,7,7,314,8323,1
EICHER MOTORS,10.50 MOBILE CONVEYER,1,3,3,304,12383,1
EICHER MOTORS,10.90 AMBULANCE,3940,5,5,304,13485,8720
FORCE MOTORS,BALWAN 450,2000,1,1,314,6354,1
EICHER MOTORS,10.50 STEP LADDER,1,3,3,304,12381,1
EICHER MOTORS,10.75 DISPENSARIES,2000,2,2,304,12988,7450
ESCORTS CONSTRUCTION EQUIPMENT LTD,C 15,2000,2,2,312,7916,1
FORCE MOTORS,BALWAN 500,2000,1,1,314,6357,1
FORD,FORD 3230,2000,1,1,,13761,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,HP216 CRANE,2000,2,2,312,7370,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS HYDRA 11 T CRANE,2000,2,2,312,5259,1
ESCORTS LIMITED,PT 455 LOADER,2000,1,1,313,14027,0
FORD,3630 TRACTOR,1,1,1,,12745,1
FORD,FORD 3610,3142,1,1,,10843,1
ESCORTS LIMITED,FARM TRAC 42,2000,1,1,313,8745,1
ESCORTS LIMITED,POWERTRAC 325,2000,1,1,313,6412,1
ESCORTS LIMITED,FARMTRAC 62,1,1,1,313,10718,2150
ESCORTS LIMITED,FARMTRAC 60 DELUXE,2000,1,1,313,4722,1
ESCORTS LIMITED,429 XL,1,1,1,313,16243,1
ESCORTS LIMITED,MPT 325,2000,1,1,313,7029,1
ESCORTS LIMITED,BALWAN 300,2000,1,1,313,6419,1
LIMA,450 T,1,2,2,,10706,1
LINDE BAKER,LINDE BAKER FORK LIFT TRUCK,1,2,2,,10276,0
LIMA,350 TC CONVENTIONAL TRUCK CRANE,1,2,2,,10773,0
L&T CASE EQUIPMENT (P) LTD.,770 EXCAVATOR,1,1,1,329,12608,1
FORCE MOTORS,OX 25,2000,1,1,314,6359,1
FORCE MOTORS,TRAVELLER AMBULANCES,2596,6,6,314,17193,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS MAC 1214 CRANE,2000,2,2,312,5039,1
FORCE MOTORS,BALWAN DI 330 TRACTOR,2000,1,1,314,13211,1
ESCORTS LIMITED,435PT,2000,1,1,313,7025,1
ESCORTS LIMITED,FARMTRAC 80,2000,1,1,313,4975,1
ESCORTS LIMITED,ESCORT 325 JOSH,2000,1,1,313,6328,1
ESCORTS LIMITED,FARMTRACT 35,2000,1,1,313,7608,1
ESCORTS LIMITED,439 XL,2000,1,1,313,7030,1
ESCORTS LIMITED,FARMTRAC 45,2000,1,1,313,4974,1
EICHER TRACTOR,EICHER 340 DI,2000,1,1,366,6355,1
EICHER MOTORS,10.50 CAMPER VAN,2598,3,3,304,13583,10500
LOKOMO MOBILE CRANE,LOKOMO A 351 TRUCK CRANE,5853,2,2,416,11697,1
LUNA SPAIN,GT 60,476,3,3,437,11829,30000
L&T KOMATSU LIMITED,CK 93 EXCAVATOR,2000,2,2,332,8426,1
L & T (LTD.),CL 72 HYDRAULIC EXCAVATOR,1500,1,1,363,7913,8000
LORAIN,550 MOBILE CRANE,2000,2,2,,13088,1
LOKOMO MOBILE CRANE,350 N CRANE,2000,2,2,416,8053,1
TATA HITACHI,EX 350 V,2000,1,1,251,9139,1
TATA HITACHI,VX 200LC,2000,2,2,251,6728,1
TANDER,FIRE TANDER,2000,5,5,,10168,1
TATA HITACHI,TMX-20,1,1,1,251,14408,1
T.P.S.,3D ROAD SWEEPER,1,1,1,236,10798,1
TATA HITACHI,ZAXIS 75,1,1,1,251,14467,1
LIEBHERR,LTM 1050,1,2,2,333,16968,1
ESCORTS LIMITED,POWERTRAC 440,2000,1,1,313,6342,1
ESCORTS LIMITED,435 XL,2000,1,1,313,8595,1
ESCORTS LIMITED,ESCORTS 340,1,1,1,313,10949,1
ESCORTS LIMITED,POWERTRAC 335,2000,1,1,313,6409,1
ESCORTS LIMITED,ESCORT 335 JOSH,2000,1,1,313,6330,1
ESCORTS LIMITED,POWERTRAC 429,1,1,1,313,15484,1
FORCE MOTORS,OX 35,2000,1,1,314,6437,1
FORD,3030 TRACTOR,1,1,1,,14271,1
L&T KOMATSU LIMITED,PC 2000 CRAWLER EXCAVATOR,2000,1,1,332,13106,1
LIUGONG,ZL 50 CX,1,2,2,270,11258,1
LINDE BAKER,LINDE 530-03,1,1,1,,17093,1
TAFE LIMITED,MF 135 DI,2000,1,1,347,7618,1
TAFE LIMITED,MF 5245 PLANATARY,2000,1,1,347,11813,1
TAFE LIMITED,TAFE 30 DI NAYAK,2000,1,1,347,6491,1
TAFE LIMITED,TAFE 4410 SAMRAT,2000,1,1,347,6493,1
TATA HITACHI,TH76,1,1,1,251,17411,1
TAFE LIMITED,IMT 533 TRACTOR,2000,1,1,347,13254,1
TAFE LIMITED,5245 SARJA,2000,1,1,347,6653,1
TAFE LIMITED,MF 241 HI LIFT,2000,1,1,347,6486,1
TAFE LIMITED,MF 1035 DI-J-HALUAGE,2000,1,1,347,6483,1
TAFE LIMITED,375 ET,2000,1,1,347,6481,1
TAFE LIMITED,MF 9000,1,1,1,347,14404,1
TAFE LIMITED,TAFE 5900 DI GAJRAJ,2000,1,1,347,6494,1
TAFE LIMITED,MF 1035 DI,2000,1,1,347,6482,1
TAFE LIMITED,MF 241 AG.TRACTOR,2000,1,1,347,8086,1
TAFE LIMITED,MF 7250 TRACTOR,1,1,1,347,17380,1
LIUGONG,CLG 414,1,1,1,270,17100,1
ESCORTS LIMITED,POWERTRAC 430,2000,1,1,313,6337,1
ESCORTS LIMITED,FORD 3000,1,1,1,313,11133,1865
ESCORTS LIMITED,ESCORTS 355,1,1,1,313,10946,1
ESCORTS LIMITED,POWERTRAC 445,2000,1,1,313,6345,1
ESCORTS LIMITED,FARMTRAC 34,1,1,1,313,12069,1850
ESCORTS LIMITED,FARMTRACT 30,2000,1,1,313,7607,1
ESCORTS LIMITED,POWERTRAC 439,2000,1,1,313,6408,1
L&T CASE EQUIPMENT (P) LTD.,L T CASE 770,2000,1,1,329,6968,7275
LINDE HEAVY TRUCK DIVISION LTD,C80/6 EMPTY CONTAINER HANDLER,1,1,1,,12785,8000
EICHER MOTORS,20.16 AMBULANCES,1,7,7,304,16904,1
LORAIN,275 CRANE,2000,1,1,,12871,1
LIEBHERR,LTM 1120 CRANE S/N 0016109,2000,2,2,333,5614,1
LIEBHERR,LTM 1080,1,1,1,333,16092,1
L&T KOMATSU LIMITED,L T 72,2000,2,2,332,6716,1
LINK BELT,FMC LINK BELT CRAWLER CRANE,1,1,1,,13372,0
L&T CASE EQUIPMENT (P) LTD.,1107 SOIL COMPACTOR,2000,2,2,329,7414,1
LEYLAND DEERE,435 BACK HOE LOADER,1,1,1,,16984,1
L&T CASE EQUIPMENT (P) LTD.,580 3S,2000,2,2,329,6545,1
LIEBHERR,LTM 1070,2000,2,2,333,8404,1
LIEBHERR,R934-B EXCAVATOR,2000,2,2,333,4931,1
LIUGONG,CLG 908C,1,1,1,270,16556,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,TRX 1250,1,1,1,312,17103,1
FORCE MOTORS,TRAVELLER AMBULANCE.,2596,5,5,314,17052,1
EICHER TRACTOR,EICHER 333,2000,1,1,366,6352,1
EICHER TRACTOR,EICHER 241,2000,1,1,366,6338,1
ESCORTS LIMITED,FARMTAC CHAMPION 39,2000,1,1,313,11940,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,D30,1,1,1,312,16759,1
TAFE LIMITED,MF 1035 DIJ MAHASHAKTI,2000,1,1,347,8148,1
TAFE LIMITED,MF 241 DI-PD,2000,1,1,347,7617,1
TAFE LIMITED,MF 4410 TRACTOR,1,1,1,347,12750,1
TAFE MOTORS & TRACTORS (EICHER),EICHER 560,2000,1,1,348,6658,1
TAFE LIMITED,MF 5245 MAHAAN,2000,1,1,347,6488,1
TAFE LIMITED,MF 241 SARJA,2000,1,1,347,7619,1
TAFE LIMITED,MF 241 EAGLE,2000,1,1,347,6485,1
TAFE LIMITED,MF 35 DI J,2000,1,1,347,7621,1
TAFE LIMITED,MF 245 J,2000,1,1,347,6487,1
TAFE MOTORS & TRACTORS (EICHER),242 DI,2000,1,1,348,6504,1
TAFE MOTORS & TRACTORS (EICHER),EICHER DI 5660,1,1,1,348,10147,0
TAFE MOTORS & TRACTORS (EICHER),EICHER 480,2000,1,1,348,6657,1
TAFE MOTORS & TRACTORS (EICHER),368 SDI,2000,1,1,348,6510,1
TAFE MOTORS & TRACTORS (EICHER),EICHER 6100,2000,1,1,348,6514,1
TAFE MOTORS & TRACTORS (EICHER),242 XTRAC,2000,1,1,348,7036,1
TAFE MOTORS & TRACTORS (EICHER),EICHER 485,2000,1,1,348,6502,1
L & T (LTD.),W 1104 VIB,1,2,2,363,11166,0
L&T CASE EQUIPMENT (P) LTD.,450 VIBRATORY COMPACTOR,2000,1,1,329,12852,1
LORAIN,MC 330 TRUCK CRANE,1,3,3,,15548,1
L&T KOMATSU LIMITED,GD511A-1 MOTOR GRADER,1,1,1,332,15563,1
LOKOMO MOBILE CRANE,391 CRANE,5853,2,2,416,12272,4800
LIUGONG,CLG 205C,1,1,1,270,15718,1
LIEBHERR,L 580,1,1,1,333,16057,1
L & T (LTD.),9020 WHEEL LOADER,1,1,1,363,16485,1
363,8873,KSM 304 SURFACE MINER,1,2,SURFACING AND PREMIX LAYING EQMT,L & T (LTD.),ROAD SCRAPPING
LIUGONG,CLG 856,2000,2,2,270,9256,0
L & T (LTD.),L&T 588 LOADER,2000,2,2,363,5088,1
L&T KOMATSU LIMITED,L T 180,2000,2,2,332,6717,1
L & T (LTD.),300 CK-II,3500,2,2,363,8732,0
L&T CASE EQUIPMENT (P) LTD.,L T CASE 851 E,3500,3,3,329,8731,6990
L&T KOMATSU LIMITED,HYDRAULIC EXCAVATOR 90 CK,2000,2,2,332,7347,15000
ESCORTS CONSTRUCTION EQUIPMENT LTD,HYDRA 1242,1,1,1,312,17054,1
EICHER MOTORS,30.25 BOOM LIFT,1,3,3,304,17020,1
EICHER TRACTOR,EICHER 242,2000,1,1,366,6343,1
EICHER TRACTOR,5150 WC,2000,5,7,366,10305,1
EICHER TRACTOR,EICHER 368,2000,1,1,366,6348,1
EICHER TRACTOR,EICHER 512,2000,1,1,366,6360,1
EICHER TRACTOR,EICHER 380,2000,1,1,366,6353,1
LIEBHERR,L556,1,1,1,333,15454,1
KUKJE MACHINERY CO. LTD,DKC 685,1,1,1,,14253,1
L&T KOMATSU LIMITED,D41E-6 BULLDOZER,2000,2,2,332,8894,1
LIEBHERR,LT 1055,1,2,2,333,16184,1
L&T KOMATSU LIMITED,L T KOMATSU PC 200-6,2000,2,2,332,6724,1
L&T KOMATSU LIMITED,KOMATSU PC 400 LCSE 7,2000,2,2,332,6726,1
LINK BELT,HTC 50,1,2,2,,14398,1
L&T CASE EQUIPMENT (P) LTD.,L T 752 COMPACTOR,2000,1,1,329,7495,1
L&T CASE EQUIPMENT (P) LTD.,580 3S COMPACTOR,1,2,2,329,11055,1
L&T KOMATSU LIMITED,PC 1250,1,1,1,332,16056,1
LINDE HEAVY TRUCK DIVISION LTD,C4531TL REACHSTACKER,1,1,1,,12784,1
L&T KOMATSU LIMITED,GD 31 MOTO GRADER,2000,3,3,332,9211,1
L&T KOMATSU LIMITED,L T KOMATSU PC 71,2000,2,2,332,6719,1
L & T (LTD.),W20 LOADER,2000,2,2,363,5090,1
L&T KOMATSU LIMITED,L T KOMATSU PC 1000 LC,2000,2,2,332,6722,1
L & T (LTD.),L  T 580,2000,2,2,363,8837,1
L & T (LTD.),PC 130 EXCAVATOR,2000,2,2,363,6035,1
L&T CASE EQUIPMENT (P) LTD.,L T CASE 851,2000,2,2,329,6969,1
ESCORTS LIMITED,PT 434 XL,2000,1,1,313,7028,1
ESCORTS LIMITED,FARMTRAC 50,2000,1,1,313,4721,1
ESCORTS LIMITED,325 JAWAN,1,1,1,313,10856,0
ESCORTS LIMITED,POWERTRAC 455,2000,1,1,313,6347,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,XG 958,1,1,1,312,17281,1
EICHER MOTORS,11.10 WITH RIG,1,3,3,304,17360,1
L&T KOMATSU LIMITED,CK 170,1,1,1,332,14257,1
LIEBHERR,1090 CRANE,1,2,2,333,16091,1
LIEBHERR,LTM 1160,1,1,1,333,16007,1
L&T KOMATSU LIMITED,L T KOMATSU PC 300 LC,2000,2,2,332,6721,1
LUNA SPAIN,GT 25/28,2000,3,3,437,13212,1
LIUGONG,CLG 200-3,1,1,1,270,16125,1
LIEBHERR,LTM 1400,1,2,2,333,15913,1
LIEBHERR,LTM 1140,1,1,1,333,16006,1
LOTEY AGRICULTURE WORKS,LOTEY 787,1,2,2,,11735,1
FIELD MARSHAL,FM 625 DI,1,1,1,377,7550,950
ESCORTS LIMITED,6065 TRACTOR,1,1,1,313,17021,1
FORCE MOTORS,TEMPO TRAVELLER CASH VAN,2596,5,5,314,17275,1
EICHER MOTORS,10.75 CASH VAN,1,2,2,304,14118,1
FORCE MOTORS,TRAX CASH VAN,2596,5,5,314,16366,4650
FORCE MOTORS,TRAVELLER EURO,2596,5,5,314,16435,3510
TATA HITACHI,EX 110 HYDRAULIC BACKHOE,2000,3,3,251,6978,9500
TATA HITACHI,EX210,2000,2,2,251,7284,1
LIUGONG,CLG 835 WHEEL LOADER,2000,2,2,270,13177,1
LIUGONG,CLG 418,1,1,1,270,14379,1
LIEBHERR,LTM 1040 TRUCK CRANE,2000,2,2,333,5173,1
L & T (LTD.),W 20-152HP  WHEEL LOADER,1320,1,1,363,7458,1
L&T KOMATSU LIMITED,KOMATSU PC 600 LC 7,5853,1,1,332,11554,1
LINK BELT,MOBILE CRANE,5883,1,1,,13873,0
TATA HITACHI,EX 110,2000,2,2,251,6729,1
TATA HITACHI,HITACHI EX200LC,2000,2,2,251,6730,1
TATA HITACHI,EX 100,2000,2,2,251,6733,1
TATA HITACHI,EX 350 SUPER,2000,2,2,251,6736,1
TATA HITACHI,EX 70,2000,2,2,251,6731,1
TATA HITACHI,HITACHI  EC200LC,2000,2,2,251,6732,1
TATA HITACHI,ZAXIS 200,2000,2,2,251,6737,1
TATA HITACHI,EX 400,1,2,2,251,14282,1
ESCORTS LIMITED,FARMTRAC 40,1,1,1,313,17046,1
LIUGONG,ZL 30 E,1,1,1,270,14527,1
LIEBHERR,LP 1030,1,2,2,333,15574,1
L&T KOMATSU LIMITED,92-CK-3 HYDRALIC EXCAVATOR,2000,2,2,332,6153,1
LATTICE,LATTICE CRAWLER CRANE,1,1,1,,13373,0
L&T KOMATSU LIMITED,PC 450 LC EXCAVATOR,1,1,1,332,12873,1
LUNA SPAIN,GT 100,1,2,2,437,10550,1
LINK BELT,HC 78B,1,2,2,,10705,1
TADANO,200 L MOBILE CRANE,1,1,1,382,11584,0
TADANO,TG 250,1,1,1,382,16445,1
TATA HITACHI,ZAXIS 50 U,1,1,1,251,14406,1
TAFE LIMITED,CRUZER 7504,1,1,1,347,14230,1
TADANO,TG 450 M,1,2,2,382,16090,1
TADANO,TG550E CRANE,5883,2,2,382,13729,0
TATA HITACHI,ZX 120-H,2000,2,2,251,7254,1
TATA HITACHI,HYDRAULIC EXCAVATOR EX 300,2000,2,2,251,6180,1
TATA HITACHI,Z AXIS 120-H EXCAVATOR,2000,2,2,251,7293,1
TATA HITACHI,ZAXIS110,2000,2,2,251,7332,1
TADANO,TL 360,1,3,3,382,12192,1
TATA HITACHI,ZAXIS 370 LCH,1,2,2,251,15514,1
TATA HITACHI,EX 63,1,1,1,251,11378,1
TAFE LIMITED,TAFE 30 DI,2000,1,1,347,6490,1
TAFE LIMITED,2750 DI KUBER,2000,1,1,347,7542,1
TAFE LIMITED,TAFE MF 241 DI J SERIES,2000,1,1,347,6656,1
TAFE LIMITED,TAFE 25 DI,2000,1,1,347,6489,1
TATA HITACHI,EX65,2000,2,2,251,6734,1
TATA HITACHI,ZEXIS 450 H,2000,2,2,251,6735,1
TAFE LIMITED,5900 DIJ GAJRAJ BACK HOE LOADER,2000,1,1,347,13417,0
TAFE LIMITED,5900 DI,1,1,1,347,16012,1
TATA HITACHI,KH 500,1,1,1,251,15486,1
TATA HITACHI,EX 600 EXCAVATOR,2000,2,2,251,7936,60000
TATA HITACHI,650 EXCAVATORS,1,1,1,251,17117,1
TATA HITACHI,TATA HITACHI EX 60,2000,2,2,251,5495,1
TAFE MOTORS & TRACTORS (EICHER),364 SDI,2000,1,1,348,6508,1
TAFE MOTORS & TRACTORS (EICHER),485 SDI,2000,1,1,348,6513,1
TAFE MOTORS & TRACTORS (EICHER),242 NC,2000,1,1,348,6505,1
TADANO,TG352 CRANE,5883,2,2,382,13916,0
TAFE MOTORS & TRACTORS (EICHER),TAFE 368,2000,1,1,348,7037,1
TAFE MOTORS & TRACTORS (EICHER),EICHER 333,2000,1,1,348,6499,1
TAFE MOTORS & TRACTORS (EICHER),380 FE,2000,1,1,348,6511,1
TAFE MOTORS & TRACTORS (EICHER),312 SDI,2000,1,1,348,6506,1
TAFE MOTORS & TRACTORS (EICHER),EICHER 312,2000,1,1,348,6498,1
TAFE LIMITED,MF 250 DI,2000,1,1,347,7961,1
TAFE LIMITED,MF 241 EAGLE SC,2000,1,1,347,7135,1
TAFE LIMITED,TAFE-30-J-HAULAGE,2000,1,1,347,6495,1
TAFE LIMITED,ORCHARD PLUS,2000,1,1,347,6654,1
TAFE MOTORS & TRACTORS (EICHER),MF 1035 DI-J-HALUAGE,2000,1,1,348,7127,2
TAFE MOTORS & TRACTORS (EICHER),TAFE 364,2000,1,1,348,7048,1
TAFE MOTORS & TRACTORS (EICHER),TAFE 241,2000,1,1,348,7047,1
TAFE MOTORS & TRACTORS (EICHER),EICHER 566,2000,1,1,348,6503,1
TAFE MOTORS & TRACTORS (EICHER),333 SDI,2000,1,1,348,6507,1
TOYOTA  KIRLOSKAER,INNOVA G-1 DIESEL,2494,8,8,396,7710,1
TATA MOTORS LTD.,1616 HILIFT,5883,2,2,350,12370,25000
TATA MOTORS LTD.,LPT 912 LADDER CARRIER,2000,3,3,350,12896,9600
TATA MOTORS LTD.,SFC 407 EX HD ELL,2000,6,6,350,8227,5600
TATA MOTORS LTD.,LPT 2518 SUCTION MACHINE,3985,3,3,350,13013,25000
TATA MOTORS LTD.,1109 PUBLICITY VAN,1,3,3,350,14276,1
TATA MOTORS LTD.,709 TOILET CART,1,1,1,350,12363,1
TATA MOTORS LTD.,1210 BITUMENT SPRAJER,1,2,2,350,13014,12200
TATA MOTORS LTD.,1616 MOBILE SERVICE VAN,1,2,2,350,15947,1
TATA MOTORS LTD.,TATA 2515.,5883,3,3,350,13319,25000
TATA MOTORS LTD.,1210 GENERATOR VAN,2956,3,3,350,14055,1
TATA MOTORS LTD.,909 TOWING VAN,1,2,2,350,15958,1
TATA MOTORS LTD.,709 HILIFT,2959,2,2,350,16523,7490
TATA MOTORS LTD.,WINGER,2446,8,8,350,11555,1
TATA MOTORS LTD.,LPO 1510/55,5853,5,5,350,12140,15200
TATA MOTORS LTD.,TATA 407 GENERATOR VAN,2000,2,2,350,6957,1
TATA MOTORS LTD.,ACE GARBAGE VAN,1500,5,5,350,13256,1
TATA MOTORS LTD.,TATA LPT 3516,2000,2,2,350,5276,1
TATA MOTORS LTD.,LPT 1613 GARBAGE VAN,1,2,2,350,17367,1
TOYOTA  KIRLOSKAER,INNOVA AMBULANCE,2494,4,4,396,12436,1
TATA MOTORS LTD.,LPT 2515 CRANES,1,3,3,350,16742,1
TATA MOTORS LTD.,1516 FIRE TENDER,1,2,2,350,17068,1
TATA MOTORS LTD.,TATA 207 CASH CARRYING VAN,2000,2,2,350,5647,1
TATA MOTORS LTD.,TATA 407 CASH CARRYING VAN,2000,2,2,350,5499,1
TATA MOTORS LTD.,709 CASH VAN,3546,1,1,350,10150,1
TATA MOTORS LTD.,ACE CASH VAN,1,5,5,350,11727,1
TATA MOTORS LTD.,WINGER CARGO CASH VAN,2670,3,3,350,13493,2850
TATA MOTORS LTD.,SUMO VICTA CX EURO III,1800,5,5,350,9166,1
TATA MOTORS LTD.,LPT 2518 FIRE TENDER,1,3,3,350,12485,25200
TATA MOTORS LTD.,SFC407/31,1,3,3,350,10075,0
TATA MOTORS LTD.,LP 712 MAKE UP VAN,5853,6,6,350,12590,1
TATA MOTORS LTD.,ACE PUBLICITY VAN,1,2,2,350,12220,1
TATA MOTORS LTD.,407 BFL BODY MOUNTED,1,3,3,350,12375,1
TATA MOTORS LTD.,709 PUC VAN,1,2,2,350,15714,1
TATA MOTORS LTD.,407 GENERATOR VAN,1,2,2,350,15978,1
TATA MOTORS LTD.,ACE HEARSES,1675,3,3,350,13262,1
TATA MOTORS LTD.,WINGER VAN,1948,3,3,350,16402,1
TATA MOTORS LTD.,SUMO AMBULANCE.,1948,8,8,350,15998,1
TATA MOTORS LTD.,1109 RECOVERY VAN,1,3,3,350,16031,1
TATA MOTORS LTD.,1512 VANITY VAN,2950,3,3,350,16642,1
TATA MOTORS LTD.,909 DRILLING RIG,1,3,3,350,15734,1
